Time (ms),Voltage (mV)
7081.687211990356,914.0625
7091.890096664429,1075.3125
7102.813005447388,1685.4375
7112.979173660278,2307.75
7122.711181640625,2887.125
7134.24015045166,3115.125
7143.754005432129,2857.5
7153.435707092285,2339.4375
7162.593841552734,1716.9375
7172.54638671875,1138.875
7182.74450302124,910.125
7193.479537963867,1122.375
7202.28385925293,1616.625
7213.302373886108,2387.8125
7223.581075668335,2935.6875
7233.580589294434,3114.9375
7240.761518478394,2987.25
7250.017881393433,2551.5
7260.438680648804,1866.375
7270.962476730347,1239.75
7280.449628829956,922.3125
7288.568735122681,976.875
7296.522378921509,1285.125
7303.46941947937,1695.75
7311.019420623779,2241.375
7317.955017089844,2669.25
7324.888706207275,2978.625
7332.338809967041,3113.625
7339.256286621094,3049.6875
7347.228527069092,2740.6875
7354.944229125977,2253.9375
7362.178325653076,1707.9375
7369.204759597778,1294.6875
7377.730131149292,981.1875
7384.670734405518,912.75
7391.625642776489,1043.0625
7399.015188217163,1414.125
7406.363248825073,1853.4375
7414.090633392334,2396.4375
7421.180009841919,2792.0625
7428.611993789673,3071.4375
7435.4753494262695,3106.125
7442.768096923828,2943.0
7451.0698318481445,2473.6875
7459.496974945068,1936.3125
7466.872215270996,1418.0625
7473.73628616333,1085.4375
7481.230735778809,921.375
7488.183259963989,954.9375
7495.569467544556,1233.375
7502.3627281188965,1628.4375
7511.016368865967,2248.875
7518.982887268066,2736.9375
7526.070833206177,3018.1875
7534.1246128082275,3114.0
7541.076183319092,2981.25
7548.275947570801,2673.0
7555.023670196533,2245.875
7562.408685684204,1700.25
7569.227457046509,1288.875
7576.3232707977295,1008.375
7584.300518035889,913.3125
7591.219663619995,1047.0
7598.439693450928,1355.8125
7605.286598205566,1783.875
7612.722873687744,2329.125
7621.49453163147,2850.9375
7630.240917205811,3092.8125
7637.126207351685,3090.75
7645.0371742248535,2844.0
7651.821136474609,2466.1875
7658.927917480469,1928.25
7666.967391967773,1411.5
7673.7682819366455,1081.125
7681.156396865845,920.0625
7687.906742095947,956.625
7696.67387008667,1297.125
7704.569578170776,1787.4375
7711.948394775391,2256.9375
7719.597578048706,2743.125
7726.879119873047,3021.375
7734.902620315552,3113.625
7741.892099380493,2936.4375
7749.958515167236,2533.5
7756.82258605957,2082.0
7764.3749713897705,1618.125
7771.212339401245,1225.6875
7778.586626052856,951.5625
7786.086797714233,922.875
7794.50798034668,1188.0
7802.444219589233,1640.0625
7809.568643569946,2105.25
7817.569255828857,2621.0625
7824.481964111328,2948.8125
7832.900524139404,3116.8125
7839.864015579224,3011.4375
7847.73063659668,2663.625
7855.026006698608,2234.0625
7862.492084503174,1688.4375
7869.359254837036,1279.6875
7876.74617767334,1003.6875
7884.793281555176,914.0625
7891.931533813477,1094.0625
7898.84090423584,1431.375
7905.617713928223,1873.3125
7914.189100265503,2415.5625
7921.050071716309,2806.125
7928.406238555908,3077.0625
7935.28413772583,3102.9375
7942.598581314087,2932.125
7949.461460113525,2594.625
7956.236124038696,2152.3125
7963.757276535034,1610.4375
7970.552921295166,1219.875
7977.769613265991,973.125
7984.570741653442,914.4375
7991.474866867065,1055.0625
7998.6114501953125,1368.9375
8005.450248718262,1799.8125
8013.021230697632,2344.6875
8019.816875457764,2752.125
8027.384519577026,3054.9375
8035.310745239258,3102.1875
8042.722463607788,2929.6875
8049.591541290283,2591.4375
8056.356430053711,2148.375
8063.843727111816,1606.6875
8070.613622665405,1217.25
8077.921152114868,971.8125
8084.748983383179,914.8125
8091.69340133667,1056.9375
8098.71506690979,1372.3125
8106.726884841919,1881.1875
8114.482402801514,2422.6875
8121.297836303711,2811.375
8128.942251205444,3079.3125
8135.751008987427,3101.625
